frequency_hz,viscosity_mpa_s,backpressure_pa,swept_volume_ml_cycle,net_flow_ml_min,sample_amount_30s_ml,outlet_min_ml_min,outlet_max_ml_min,chamber_pressure_half_range_pa,peak_reynolds_number,hydraulic_input_power_mw,pressure_residual_pa,points_per_cycle,settling_cycles
1.0,1.0,0.0,2.550437317784257,36.730321554847926,18.365160777423966,-199.3453952687201,272.8536596247182,2.9010137893373775,213.32087853148647,0.0005532259856471931,2.220446049250313e-15,400,60
1.5,1.0,0.0,2.550437317784257,60.72219122036224,30.361095610181117,-293.39327171413044,414.89688894866856,6.526684513615683,324.2453148347674,0.001619297949711647,4.440892098500626e-15,400,60
2.0,1.0,0.0,2.550437317784257,85.35115675882986,42.67557837941492,-386.80420652648485,557.577275947822,11.602521383140147,435.6525963031828,0.0035426836576064047,8.881784197001252e-15,400,60
2.5,1.0,0.0,2.550437317784257,110.29135095116195,55.14567547558097,-479.9039756156637,700.5689137673453,18.128502005791763,547.2957626739516,0.006571514731200024,1.7763568394002505e-14,400,60
1.0,5.0,0.0,2.550437317784257,17.617355646409333,8.808677823204667,-218.4571568287055,253.84123101424714,2.912574159348696,39.76657269689884,0.0014085215333408132,2.220446049250313e-15,400,60
1.5,5.0,0.0,2.550437317784257,33.67248521843299,16.836242609216495,-320.4356770898923,387.9434326845314,6.538595147444424,60.7490664759777,0.0035635213826888793,5.329070518200751e-15,400,60
2.0,5.0,0.0,2.550437317784257,52.07751269429227,26.03875634714613,-420.06730827350384,524.3966922542469,11.614898788532976,82.0873805613816,0.007024046896757889,8.881784197001252e-15,400,60
2.5,5.0,0.0,2.550437317784257,72.0450533453125,36.022526672656255,-518.1377051492565,662.4126054264898,18.141074145478516,103.66239900362062,0.012039958312785108,1.4210854715202004e-14,400,60
1.0,20.0,0.0,2.550437317784257,6.030520984047302,3.0152604920236508,-230.2020275332597,242.73834435392052,3.0925107927703843,9.496472636365274,0.004534584939071842,1.7763568394002505e-15,400,60
1.5,20.0,0.0,2.550437317784257,12.775804212767778,6.387902106383889,-341.4301901349612,367.4877332707925,6.720918608144882,14.391503183238072,0.01062996372012773,5.329070518200751e-15,400,60
2.0,20.0,0.0,2.550437317784257,21.46208338405516,10.73104169202758,-450.74412117904944,494.19709854088535,11.796790169992514,19.359089615443832,0.019643688214697898,8.881784197001252e-15,400,60
2.5,20.0,0.0,2.550437317784257,31.790918377896965,15.89545918894848,-558.4293021474363,622.5595145947774,18.321970845320124,24.38841121404505,0.03184189284467493,1.4210854715202004e-14,400,60
1.0,50.0,0.0,2.550437317784257,2.6052567036236858,1.3026283518118429,-234.16122745086255,240.31886306546832,3.9386639580488656,3.73856219852874,0.010752759157910062,2.220446049250313e-15,400,60
1.5,50.0,0.0,2.550437317784257,5.710455168800976,2.8552275844004886,-349.00135241746585,361.4978080191127,7.66242031304887,5.64181215486869,0.024635951304755474,4.440892098500626e-15,400,60
2.0,50.0,0.0,2.550437317784257,9.89438997355383,4.947194986776915,-462.74387926616606,483.6758248310442,12.781179277967084,7.561703191618695,0.04457525419125486,8.881784197001252e-15,400,60
2.5,50.0,0.0,2.550437317784257,15.076302460120225,7.538151230060112,-575.5050688331489,606.8458608848006,19.328192454814882,9.496472636365288,0.07085288967299705,1.4210854715202004e-14,400,60
