time_s,inlet_flow_ml_min,outlet_flow_ml_min,chamber_pressure_pa,volume_rate_ml_min
0.0,541.4249086455695,-420.06730827350384,-0.9385521185025286,961.4922169190734
0.0012499999999988631,541.4039784184762,-419.9696215918935,-0.756131866411717,961.3736000103697
0.002500000000001279,541.2621997504606,-419.7555788007438,-0.5734124050087799,961.0177785512044
0.003750000000000142,540.9995639916274,-419.42527634357316,-0.39043912827270544,960.4248403352005
0.004999999999999005,540.6160925363012,-418.97883912468853,-0.20725766120119887,959.5949316609897
0.006250000000001421,540.1118368690383,-418.4164204270773,-0.023913847979224634,958.5282572961155
0.007500000000000284,539.4868786028006,-417.7382018237225,0.15954626007072142,957.2250804265232
0.008749999999999147,538.7413295091947,-416.9443930824076,0.3430764167573404,955.6857225916023
0.010000000000001563,537.8753315407777,-416.0352320640816,0.5266301934947452,953.9105636048592
0.011250000000000426,536.8890568453646,-415.0109846148576,0.7101609919824718,951.9000414602222
0.01249999999999929,535.7827077722226,-413.8719444517186,0.8936220570913876,949.6546522239412
0.013750000000001705,534.5565168702075,-412.6184330419972,1.0769664899413887,947.1749499122046
0.015000000000000568,533.2107468777591,-411.2507994767084,1.2601472611705802,944.4615463544675
0.01624999999999943,531.7456907046408,-409.7694203378082,1.4431172243954538,941.5151110424489
0.017500000000001847,530.1616714055141,-408.1746995594508,1.6258291298473717,938.3363709649649
0.01875000000000071,528.4590421452643,-406.4670682833188,1.808235638184496,934.926110428583
0.019999999999999574,526.6381861559481,-404.64698470810475,1.990289334478071,931.2851708640529
0.02125000000000199,524.6995166855033,-402.7149339332172,2.1719427423578885,927.4144506187205
0.022500000000000853,522.6434769381235,-400.6714277967856,2.3531483383154885,923.3149047349091
0.023749999999999716,520.4705400061673,-398.51700470804485,2.533858566163485,918.9875447142122
0.02500000000000213,518.18120879378,-396.2522294741701,2.714025851635346,914.4334382679501
0.026250000000000995,515.7760159321265,-393.8776931216432,2.8936026171237175,909.6537090537697
0.027499999999999858,513.2555236860971,-391.3940127122242,3.072541296555107,904.6495363983213
0.028750000000002274,510.6203238527087,-388.8018311536049,3.25079435038488,899.4221550063136
0.030000000000001137,507.8710376510922,-386.10181700482315,3.4283142807101936,893.9728546559154
0.03125,505.0083156039213,-383.294664276513,3.6050536464981366,888.3029798804342
0.03249999999999886,502.0328374105646,-380.38109222606624,3.78096507891228,882.4139296366308
0.03375000000000128,498.9453118117294,-377.361845147786,3.956001296738208,876.3071569595155
0.03500000000000014,495.746476445799,-374.23769215810427,4.130115121894509,869.9841686039032
0.036249999999999005,492.4370976965964,-371.0094269759443,4.303259495029454,863.4465246725407
0.03750000000000142,489.0179705329241,-367.67786769829996,4.475387491186169,856.695838231224
0.038750000000000284,485.4899183397452,-364.2438565711129,4.646452335532936,849.7337749108581
0.03999999999999915,481.8537927408525,-360.70825975552,4.8164074191549,842.5620524963725
0.04125000000000156,478.1104734133914,-357.07196708954785,4.985206314890373,835.1824405029392
0.042500000000000426,474.2608678941045,-353.3358918453317,5.152802793207979,827.5967597394362
0.04374999999999929,470.30591137713014,-349.50097048193345,5.319150838120562,819.8068818590637
0.045000000000001705,466.2465665037726,-345.56816239383113,5.484204663118996,811.8147288976038
0.04625000000000057,462.08382314409545,-341.5384496551601,5.647918727121809,803.6222727992555
0.04749999999999943,457.81869817017576,-337.41283675977684,5.810247750436234,795.2315349299527
0.04875000000000185,453.4522352214664,-333.19235035722,5.971146730713807,786.6445855786865
0.05000000000000071,448.98550446212477,-328.878038984644,6.130570958896175,777.8635434467687
0.051249999999999574,444.4196023301279,-324.47097279480005,6.288476035146492,768.890575124928
0.05250000000000199,439.7556512786718,-319.9722432801339,6.444817884749498,759.7278945588057
0.05375000000000085,434.9947995097029,-315.38296299307683,6.599552773975897,750.3777625027797
0.054999999999999716,430.1382206993969,-310.70426526260314,6.7526373259059715,740.8424859620001
0.05625000000000213,425.18711371612204,-305.93730390712375,6.904028536195938,731.1244176232458
0.057500000000000995,420.1427023307316,-301.0832529437886,7.0536837887822355,721.2259552745202
0.05874999999999986,415.0062349189944,-296.14330629427195,7.201560871518742,711.1495412132664
0.060000000000002274,409.7789841567387,-291.11867748710955,7.347617991730488,700.8976616438482
0.06125000000000114,404.4622467075482,-286.01059935665734,7.491813791679074,690.4728460642056
0.0625,399.0573429028171,-280.8203237387467,7.634107363934549,679.8776666415638
0.06374999999999886,393.5656164148057,-275.5491211631007,7.774458266637368,669.1147375779065
0.06500000000000128,387.98843392231277,-270.1982805425866,7.912826538648156,658.1867144648994
0.06625000000000014,382.3271847694206,-264.769108859368,8.04917271457195,647.0962936287887
0.067499999999999,376.5832806169026,-259.2629308480322,8.183457839654427,635.8462114649348
0.06875000000000142,370.7581550869852,-253.68108867575557,8.315643484534185,624.4392437627408
0.07000000000000028,364.85326340128853,-248.02494161957722,8.445691759846207,612.8782050208657
0.07124999999999915,358.8700820117453,-242.29586574085027,8.573565330671228,601.1659477525956
0.07250000000000156,352.8101082251872,-236.4952535569358,8.699227430815919,589.305361782123
0.07375000000000043,346.6748598214232,-230.6245137102066,8.82264187691912,577.2993735316298
0.07499999999999929,340.4658746646043,-224.68507063442954,8.943773082378838,565.1509452990338
0.0762500000000017,334.1847103085962,-218.6783642185894,9.062586071085569,552.8630745271856
0.07750000000000057,327.83294359617736,-212.60584946822323,9.179046490957194,540.4387930644007
0.07874999999999943,321.41217025185756,-206.46899616432884,9.293120627270287,527.8811664161864
0.08000000000000185,314.9240044690667,-200.26928851991184,9.404775415774122,515.1932929889786
0.08125000000000071,308.37007849152593,-194.00822483423846,9.513978455582581,502.3783033257644
0.08249999999999957,301.75204218859574,-187.68731714485696,9.620698021839244,489.4393593334527
0.08375000000000199,295.0715626253767,-181.30809087745016,9.72490307814227,476.3796535028269
0.08500000000000085,288.3303236273719,-174.87208449358624,9.826563288724888,463.2024081209581
0.08624999999999972,281.5300253395032,-168.38084913642876,9.92564903038658,449.91087447593196
0.08750000000000213,274.6723837802833,-161.83594827446856,10.022131404162653,436.5083320547519
0.088750000000001,267.75913039094803,-155.2389573433418,10.115982246728073,422.99808773428987
0.08999999999999986,260.79201157933915,-148.5914633857966,10.207174141530889,409.38347496513575
0.09125000000000227,253.7727882593637,-141.8950646898679,10.29568042964391,395.6678529492316
0.09250000000000114,246.7032353858317,-135.15137042532461,10.381475220330616,381.8546058111564
0.09375,239.5851414844598,-128.36200027845072,10.464533401321038,367.9471417629105
0.09499999999999886,232.42030817792633,-121.52858408521973,10.544830648786872,353.94889226314604
0.09625000000000128,225.21054970750242,-114.65276146292427,10.622343437013685,339.8633111704267
0.09750000000000014,217.95769245087817,-107.73618144032183,10.697049047761682,325.6938738912
0.098749999999999,210.66357443569535,-100.78050208635742,10.768925579312885,311.44407652205274
0.10000000000000142,203.3300448496997,-93.78739013752117,10.837951955195145,297.11743498722086
0.10125000000000028,195.95896354730698,-86.75852062390317,10.904107932579882,282.7174841712101
0.10249999999999915,188.55220055236856,-79.69557649400414,10.967374110350082,268.2477770463727
0.10375000000000156,181.11163555802418,-72.60024823836142,11.027731936830234,253.7118837963856
0.10500000000000043,173.6391574234364,-65.47423351204904,11.08516371717542,239.11339093548546
0.10624999999999929,166.13666366719016,-58.31923675611242,11.139652620416626,224.45590042330258
0.1075000000000017,158.6060599582595,-51.13696881799471,11.191182686154827,209.74302877625422
0.10875000000000057,151.04925960433508,-43.929146571014336,11.239738830901686,194.97840617534942
0.10999999999999943,143.46818303729296,-36.69749253295253,11.285306854064103,180.16567557024547
0.11125000000000185,135.8647572967209,-29.443734483808374,11.327873443566535,165.30849178052927
0.11250000000000071,128.24091551129274,-22.169605082779743,11.367426181109133,150.4105205940725
0.11374999999999957,120.5985963777714,-14.876841484528716,11.40395354705953,135.4754378623001
0.11500000000000199,112.93974363856692,-7.567184954788274,11.437444924973226,120.5069285933552
0.11625000000000085,105.26630555763725,-0.24238048536903187,11.467890605741115,105.50868604300629
0.11749999999999972,97.58021268015735,7.09580187702088,11.495383592885492,90.48441080313646
0.11875000000000213,89.88330282192142,14.445492933115684,11.520032519739765,75.43780988880573
0.120000000000001,82.17738980379261,21.804793980064712,11.541831427264619,60.37259582372789
0.12124999999999986,74.46428943920257,29.17180371519747,11.560774941115614,45.292485724005104
0.12250000000000227,66.74581915543398,36.544618774320924,11.576858391713769,30.201200381113058
0.12375000000000114,59.02379760156829,43.92133425758818,11.590077815373448,15.102463343980112
0.125,51.30004425587012,51.30004425587006,11.600429955263353,5.887441829275179e-14
0.12624999999999886,43.576379033463944,58.678842377443935,11.607912262199788,-15.102463343979995
0.12750000000000128,35.854621893658134,66.05582227481396,11.612522895272502,-30.201200381155832
0.12875000000000014,28.13659244747222,73.4290781714772,11.614260722302827,-45.29248572400499
0.129999999999999,20.424109564722276,80.79670538845005,11.613125320134003,-60.37259582372778
0.13125000000000142,12.718990981520792,88.15680087036921,11.609116974753494,-75.4378098888484
0.13250000000000028,5.023052907845924,95.50746371098226,11.602236681247351,-90.48441080313634
0.13374999999999915,-2.661888783306903,102.84679725969927,11.592500990340211,-105.50868604300618
0.13500000000000156,-10.333962141241951,110.1729664521557,11.580091540725187,-120.50692859339766
0.13625000000000043,-17.991207428292007,117.484230434008,11.565062952678645,-135.4754378623
0.1374999999999993,-25.63166221453862,124.77885837953376,11.547417447723003,-150.41052059407238
0.1387500000000017,-33.25336880216129,132.05512297841014,11.527157715679355,-165.30849178057144
0.14000000000000057,-40.85437477284516,139.3113007974002,11.504286915725775,-180.16567557024538
0.14124999999999943,-48.43273353352501,146.5456726418243,11.478808677520641,-194.9784061753493
0.14250000000000185,-55.98650485949708,153.7565239167989,11.450727102389612,-209.74302877629597
0.1437500000000007,-63.513755435077094,160.94214498822538,11.420046764573343,-224.45590042330247
0.14499999999999957,-71.01255939197546,168.1008315435099,11.386772712532311,-239.11339093548534
0.146250000000002,-78.48099884443322,175.2308849519936,11.350910470307134,-253.7118837964268
0.14750000000000085,-85.9171644213011,182.33061262507147,11.312466038930717,-268.24777704637256
0.14874999999999972,-93.31915579523182,189.39832837597822,11.271445897887697,-282.71748417121006
0.15000000000000213,-100.68508220804617,196.4323527792154,11.227857006619542,-297.11743498726156
0.151250000000001,-108.01306299245783,203.43101352959482,11.181706806070652,-311.4440765220527
0.15249999999999986,-115.30122809032876,210.39264580087112,11.133003220270435,-325.69387389119987
0.15375000000000227,-122.54771856653319,217.3155926039335,11.081754657949292,-339.8633111704667
0.15500000000000114,-129.75068711861857,224.19820514452738,11.027970014183364,-353.948892263146
0.15625,-136.9082985824381,231.0388431804723,10.971658672062183,-367.9471417629104
0.15749999999999886,-144.01873043281412,237.8358753783421,10.912830504377258,-381.85460581115626
0.15875000000000128,-151.0801732796984,244.5876796695722,10.851495875324657,-395.66785294927064
0.16000000000000014,-158.09083135918178,251.29264360595405,10.787665642218437,-409.3834749651358
0.161249999999999,-165.0489230198112,257.9491647144787,10.72135115720734,-422.9980877342899
0.16250000000000142,-171.95268120330394,264.5556508514861,10.65256426899257,-436.50833205479006
0.16375000000000028,-178.80035391985564,271.1105205560762,10.581317324540228,-449.91087447593185
0.16499999999999915,-185.59020471822151,277.6122034027363,10.507623170780892,-463.20240812095784
0.16625000000000156,-192.32051314972898,284.0591403531351,10.4314951562944,-476.3796535028641
0.16750000000000043,-198.98957522641854,290.4497841070341,10.352947132972592,-489.4393593334526
0.1687499999999993,-205.59570387350078,296.7825994522635,10.271993457652247,-502.3783033257643
0.1700000000000017,-212.1372293753082,303.05606361370627,10.188648993716155,-515.1932929890145
0.17125000000000057,-218.61249981495092,309.26866660123517,10.102929112654797,-527.8811664161861
0.17249999999999943,-225.0198815078582,315.4189115565425,10.014849695580315,-540.4387930644008
0.17375000000000185,-231.35775942842025,321.50531509880034,9.924427134691017,-552.8630745272206
0.1750000000000007,-237.6245376299453,327.5264076690884,9.831678334678278,-565.1509452990338
0.17624999999999957,-243.8186396581056,333.48073387352406,9.736620714067472,-577.2993735316297
0.177500000000002,-249.93850895713348,339.3668528250235,9.639272206491116,-589.305361782157
0.17875000000000085,-255.98260926896984,345.18333848362585,9.53965126188603,-601.1659477525957
0.17999999999999972,-261.9494250255579,350.9287799953078,9.437776847605654,-612.8782050208657
0.18125000000000213,-267.83746173356127,356.6017820292119,9.333668449446185,-624.4392437627732
0.182500000000001,-273.6452463517229,362.2009651132117,9.227346072577957,-635.8462114649346
0.18374999999999986,-279.37132766105185,367.7249659677366,9.11883024237317,-647.0962936287884
0.18500000000000227,-285.0142766271581,373.1724378377726,9.008142005128837,-658.1867144649307
0.18625000000000114,-290.5726867549508,378.5420508229555,8.89530292867633,-669.1147375779063
0.1875,-296.04517443588975,383.83249220567393,8.780335102868419,-679.8776666415637
0.18874999999999886,-301.430379287115,389.04246677709045,8.66326113994359,-690.4728460642054
0.19000000000000128,-306.7269644828831,394.1706971609945,8.544104174756457,-700.8976616438777
0.19125000000000014,-311.9336170778725,399.2159241353939,8.422887864872184,-711.1495412132664
0.192499999999999,-317.04904832276674,404.17690695175327,8.299636390513582,-721.2259552745201
0.19375000000000142,-322.0719939714903,409.05242365178316,8.17437445436122,-731.1244176232735
0.19500000000000028,-327.00121458031794,413.84127138168196,8.047127281197819,-740.8424859619998
0.19624999999999915,-331.83549579904445,418.5422667037351,7.917920617388007,-750.3777625027795
0.19750000000000156,-336.5736486536625,423.15424590516955,7.786780730193862,-759.7278945588321
0.19875000000000043,-341.2145098207674,427.67606530416055,7.653734406917792,-768.890575124928
0.1999999999999993,-345.75694189387724,432.10660155289145,7.518808953863781,-777.8635434467686
0.2012500000000017,-350.1998336411529,436.44475193755807,7.382032195118246,-786.6445855787109
0.20250000000000057,-354.54210025473884,440.6894346752136,7.243432471142062,-795.2315349299524
0.20374999999999943,-358.78268359190776,444.8395892073478,7.10303863716514,-803.6222727992555
0.20500000000000185,-362.9205524075368,448.8941764900899,6.960880061385376,-811.8147288976267
0.2062500000000007,-366.95470257813554,452.8521792809281,6.8169866229638005,-819.8068818590637
0.20749999999999957,-370.88415731760114,456.71260242183496,6.671388709807644,-827.5967597394362
0.208750000000002,-374.70796738427555,460.474473118685,6.524117216143752,-835.1824405029605
0.21000000000000085,-378.42521127951557,464.13684121685696,6.37520353987467,-842.5620524963725
0.21124999999999972,-382.0349954379533,467.69877947290473,6.224679579709179,-849.7337749108581
0.21250000000000213,-385.5364544090599,471.15938382218343,6.072577732070814,-856.6958382312433
0.213750000000001,-388.92875103022163,474.51777364231896,5.918930887776719,-863.4465246725406
0.21499999999999986,-392.2110765914963,477.7730920124068,5.763772428479339,-869.9841686039031
0.21625000000000227,-395.38265099171167,480.9245059678214,5.607136222874988,-876.307156959533
0.21750000000000114,-398.4427228861043,483.97120675052645,5.449056622672308,-882.4139296366308
0.21875,-401.3905698256655,486.91241005476877,5.28956845831339,-888.3029798804342
0.21999999999999886,-404.2254983878749,489.7473562680405,5.128707034453013,-893.9728546559154
0.22125000000000128,-406.94684429913394,492.47531070719475,4.966508125186239,-899.4221550063287
0.22250000000000014,-409.55397254872,495.0955638496013,4.803007969027174,-904.6495363983213
0.223749999999999,-412.0462774945419,497.6074315592278,4.638243263629354,-909.6537090537697
0.22500000000000142,-414.423182960434,500.01025530752923,4.472251160254262,-914.4334382679632
0.22625000000000028,-416.6841423251758,502.30340238903636,4.305069257982115,-918.9875447142122
0.22749999999999915,-418.8286386033792,504.4862661315299,4.136735597658964,-923.3149047349091
0.22875000000000156,-420.85618451804874,506.55826610068294,3.96728865558706,-927.4144506187316
