frequency_hz,viscosity_mpa_s,backpressure_pa,swept_volume_ml_cycle,net_flow_ml_min,sample_amount_30s_ml,outlet_min_ml_min,outlet_max_ml_min,chamber_pressure_half_range_pa,peak_reynolds_number,hydraulic_input_power_mw,pressure_residual_pa,points_per_cycle,settling_cycles,trial,swept_volume_factor,loss_factor
1.0,5.028056664707642,0.0,2.4939266505320856,18.949593290949366,9.474796645474681,-211.88860159085232,249.94940226749426,2.8479870032356507,38.929021736619305,0.0013919006798096545,1.7763568394002505e-15,160,45,1,0.9778427539237599,1.1772950811888627
1.0,4.739932103886761,0.0,2.589033946009443,17.8739016115926,8.936950805796299,-221.7743118777074,257.6509656140821,2.955257582545465,42.581496281976264,0.001382331747125399,2.6645352591003757e-15,160,45,2,1.0151333373128015,0.9389456412943921
1.0,4.008252487304261,0.0,2.597416781988167,20.91969647895559,10.459848239477795,-219.50067373238196,261.463831759764,2.9619520877600656,51.08331330162266,0.0012529850245725964,1.7763568394002505e-15,160,45,3,1.0184201602902847,1.0089866546037498
1.0,5.34950937342623,0.0,2.4677034232634054,16.68666807209308,8.343334036046539,-211.72942523728756,245.25032794789175,2.8193940119006644,35.911871352021244,0.0013933042376455239,2.220446049250313e-15,160,45,4,0.9675608986960996,1.0639846829335848
1.0,5.199597875309925,0.0,2.686051199106176,18.07350501718575,9.036752508592874,-230.55460289889578,266.8545386683944,3.067979579044067,40.203181447687385,0.0016141032178475156,1.7763568394002505e-15,160,45,5,1.0531727952599659,0.9526974820229155
1.0,5.44487947104905,0.0,2.6317673941666424,19.73044099311787,9.865220496558935,-223.86472420629707,263.5202164702848,3.0076675140725526,37.89891307809606,0.00166841217297345,1.7763568394002505e-15,160,45,6,1.0318886787827597,1.18204076510577
1.0,4.288999247816332,0.0,2.551927071585944,18.244019592353222,9.122009796176611,-217.96960496188095,254.56936353492677,2.911070910804896,46.494607252473706,0.0012356728029459378,1.7763568394002505e-15,160,45,7,1.000584117002719,0.9135708101949178
1.0,3.8331996247047435,0.0,2.652090094183175,20.850065400452085,10.425032700226044,-224.63310054820408,266.445330673279,3.0235068956532993,54.43924479948108,0.0012457758093432688,1.7763568394002505e-15,160,45,8,1.039856998519466,0.9180315565634346
1.0,4.301354717843922,0.0,2.459328115876008,17.584988001361076,8.792494000680538,-210.05724356887802,245.334842094973,2.805479922604154,44.679354349970176,0.0011474721551987897,2.220446049250313e-15,160,45,9,0.9642770276011324,0.9471254995409601
1.0,4.507996901038239,0.0,2.6632937649354336,17.077775810676506,8.538887905338253,-229.44811513899518,263.7115449954522,3.038948656063843,45.83572454562698,0.0013714064530040214,1.7763568394002505e-15,160,45,10,1.0442498415327544,0.7890978470970302
