frequency_hz,viscosity_mpa_s,backpressure_pa,swept_volume_ml_cycle,net_flow_ml_min,sample_amount_30s_ml,outlet_min_ml_min,outlet_max_ml_min,chamber_pressure_half_range_pa,peak_reynolds_number,hydraulic_input_power_mw,pressure_residual_pa,points_per_cycle,settling_cycles,convergence_type
2.0,5.0,0.0,2.550437317784257,52.07770277293327,26.038851386466636,-420.06712234854353,524.3887076553412,11.613795859959083,82.0874087501346,0.007024043811525772,7.105427357601002e-15,100,60,points_per_cycle
2.0,5.0,0.0,2.550437317784257,52.07750393305816,26.03875196652908,-420.06731588874345,524.3885052105011,11.613795847523265,82.08737940680771,0.007024046986778822,7.105427357601002e-15,200,60,points_per_cycle
2.0,5.0,0.0,2.550437317784257,52.07751269429227,26.03875634714613,-420.06730827350384,524.3966922542469,11.614898788532976,82.0873805613816,0.007024046896757889,8.881784197001252e-15,400,60,points_per_cycle
2.0,5.0,0.0,2.550437317784257,52.077511700656956,26.038755850328478,-420.07249659103536,524.4071848273597,11.614898788489555,82.0880838021098,0.007024046910738934,1.0658141036401503e-14,800,60,points_per_cycle
2.0,5.0,0.0,2.550437317784257,52.183306897330546,26.091653448665273,-419.9892768606663,524.50085953954,11.61490351555928,82.10854936016078,0.007023438696336921,8.881784197001252e-15,400,15,settling_cycles
2.0,5.0,0.0,2.550437317784257,52.07752983357595,26.03876491678798,-420.06729563210934,524.3967091299301,11.614898789298788,82.08738399089374,0.00702404679818678,8.881784197001252e-15,400,30,settling_cycles
2.0,5.0,0.0,2.550437317784257,52.077512697067846,26.03875634853392,-420.06730827145725,524.3966922569797,11.6148987885331,82.08738056193707,0.007024046896741928,8.881784197001252e-15,400,45,settling_cycles
2.0,5.0,0.0,2.550437317784257,52.07751269429227,26.03875634714613,-420.06730827350384,524.3966922542469,11.614898788532976,82.0873805613816,0.007024046896757889,8.881784197001252e-15,400,60,settling_cycles
2.0,5.0,0.0,2.550437317784257,52.07751269429196,26.03875634714598,-420.0673082735049,524.3966922542465,11.614898788532976,82.08738056138154,0.0070240468967578944,8.881784197001252e-15,400,90,settling_cycles
