frequency_hz,viscosity_mpa_s,backpressure_pa,swept_volume_ml_cycle,net_flow_ml_min,sample_amount_30s_ml,outlet_min_ml_min,outlet_max_ml_min,chamber_pressure_half_range_pa,peak_reynolds_number,hydraulic_input_power_mw,pressure_residual_pa,points_per_cycle,settling_cycles
2.0,5.0,0.0,2.550437317784257,52.07751269429227,26.03875634714613,-420.06730827350384,524.3966922542469,11.614898788532976,82.0873805613816,0.007024046896757889,8.881784197001252e-15,400,60
2.0,5.0,0.05,2.550437317784257,40.94199547923044,20.47099773961522,-431.194041951575,513.2779120372835,11.614377782457392,80.40041639100038,0.007090616103632397,8.881784197001252e-15,400,60
2.0,5.0,0.1,2.550437317784257,29.90643756789646,14.95321878394823,-442.2207239133538,502.25921711110186,11.613861391836014,78.72862142170331,0.007161704076552091,1.0658141036401503e-14,400,60
2.0,5.0,0.15,2.550437317784257,18.971357613902505,9.485678806951253,-453.14685075069207,491.34110174792846,11.613384859858385,77.07207197701264,0.0072371772541550425,1.0658141036401503e-14,400,60
2.0,5.0,0.2,2.550437317784257,8.137110228586172,4.068555114293087,-463.97328296127097,480.5238998818667,11.613298983813355,75.43081907424943,0.0073169005443318854,8.881784197001252e-15,400,60
2.0,5.0,0.24,2.550437317784257,-0.45754895345858815,-0.22877447672929407,-472.56461387295894,471.94291973169425,11.613576854817168,74.23208924218382,0.007383647858372435,1.0658141036401503e-14,400,60
2.0,5.0,0.3,2.550437317784257,-13.228245757697994,-6.614122878848997,-485.33022649536235,459.19278823606504,11.614555121699809,76.16702988191254,0.007488553036431376,8.881784197001252e-15,400,60
2.0,5.0,0.4,2.550437317784257,-34.189728677442865,-17.094864338721436,-506.2830377924965,438.265621125182,11.617327588969012,79.34289833247526,0.00767557140286569,1.0658141036401503e-14,400,60
2.0,5.0,0.5,2.550437317784257,-54.74940539214145,-27.374702696070724,-526.8338696841256,417.74018554416165,11.620904477143029,82.45778428169635,0.0078768724064251,8.881784197001252e-15,400,60
